ISO3,Date,Tests_diff,Tests
ALB,2020-02-25,8,8
ALB,2020-02-26,5,13
ALB,2020-02-27,4,17
ALB,2020-02-28,1,18
ALB,2020-02-29,8,26
ALB,2020-03-01,3,29
ALB,2020-03-02,2,31
ALB,2020-03-03,5,36
ALB,2020-03-04,6,42
ALB,2020-03-05,8,50
ALB,2020-03-06,3,53
ALB,2020-03-07,5,58
ALB,2020-03-08,1,59
ALB,2020-03-09,18,77
ALB,2020-03-10,37,114
ALB,2020-03-11,43,157
ALB,2020-03-12,141,298
ALB,2020-03-13,159,457
ALB,2020-03-14,48,505
ALB,2020-03-15,27,532
ALB,2020-03-16,31,563
ALB,2020-03-17,42,605
ALB,2020-03-18,60,665
ALB,2020-03-19,32,697
ALB,2020-03-20,35,732
ALB,2020-03-21,46,778
ALB,2020-03-22,33,811
ALB,2020-03-23,0,811
ALB,2020-03-24,0,811
ALB,2020-03-25,111,922
ALB,2020-03-26,103,1025
ALB,2020-03-27,102,1127
ALB,2020-03-28,79,1206
ALB,2020-03-29,111,1317
ALB,2020-03-30,90,1407
ALB,2020-03-31,145,1552
ALB,2020-04-01,152,1704
ALB,2020-04-02,96,1800
ALB,2020-04-03,112,1912
ALB,2020-04-04,216,2128
ALB,2020-04-05,149,2277
ALB,2020-04-06,175,2452
ALB,2020-04-07,182,2634
ALB,2020-04-08,236,2870
ALB,2020-04-09,234,3104
ALB,2020-04-10,162,3266
ALB,2020-04-11,259,3525
ALB,2020-04-12,233,3758
ALB,2020-04-13,193,3951
ALB,2020-04-14,236,4187
ALB,2020-04-15,252,4439
ALB,2020-04-16,269,4708
ALB,2020-04-17,253,4961
ALB,2020-04-18,231,5192
ALB,2020-04-19,231,5423
ALB,2020-04-20,233,5656
ALB,2020-04-21,242,5898
ALB,2020-04-22,252,6150
ALB,2020-04-23,240,6390
ALB,2020-04-24,259,6649
ALB,2020-04-25,247,6896
ALB,2020-04-26,264,7160
ALB,2020-04-27,212,7372
ALB,2020-04-28,267,7639
ALB,2020-04-29,270,7909
ALB,2020-04-30,225,8134
ALB,2020-05-01,245,8379
ALB,2020-05-02,171,8550
ALB,2020-05-03,197,8747
ALB,2020-05-04,140,8887
ALB,2020-05-05,270,9157
ALB,2020-05-06,255,9412
ALB,2020-05-07,275,9687
ALB,2020-05-08,238,9925
ALB,2020-05-09,224,10149
ALB,2020-05-10,170,10319
ALB,2020-05-11,121,10440
ALB,2020-05-12,243,10683
ALB,2020-05-13,246,10929
ALB,2020-05-14,191,11120
ALB,2020-05-15,219,11339
ALB,2020-05-16,306,11645
ALB,2020-05-17,260,11905
ALB,2020-05-18,168,12073
ALB,2020-05-19,177,12250
ALB,2020-05-20,186,12436
ALB,2020-05-21,204,12640
ALB,2020-05-22,174,12814
ALB,2020-05-23,200,13014
ALB,2020-05-24,146,13160
ALB,2020-05-25,54,13214
ALB,2020-05-26,173,13387
ALB,2020-05-27,262,13649
ALB,2020-05-28,225,13874
ALB,2020-05-29,276,14150
ALB,2020-05-30,229,14379
ALB,2020-05-31,225,14604
ALB,2020-06-01,102,14706
ALB,2020-06-02,243,14949
ALB,2020-06-03,297,15246
ALB,2020-06-04,282,15528
ALB,2020-06-05,162,15690
ALB,2020-06-06,253,15943
ALB,2020-06-07,193,16136
ALB,2020-06-08,102,16238
ALB,2020-06-09,359,16597
ALB,2020-06-10,311,16908
ALB,2020-06-11,291,17199
ALB,2020-06-12,300,17499
ALB,2020-06-13,270,17769
ALB,2020-06-14,362,18131
ALB,2020-06-15,319,18450
ALB,2020-06-16,364,18814
ALB,2020-06-17,333,19147
ALB,2020-06-18,280,19427
ALB,2020-06-19,330,19757
ALB,2020-06-20,320,20077
ALB,2020-06-21,327,20404
ALB,2020-06-22,239,20643
ALB,2020-06-23,328,20971
ALB,2020-06-24,347,21318
ALB,2020-06-25,344,21662
ALB,2020-06-26,402,22064
ALB,2020-06-27,355,22419
ALB,2020-06-28,374,22793
ALB,2020-06-29,371,23164
ALB,2020-06-30,371,23535
ALB,2020-07-01,269,23804
ALB,2020-07-02,368,24172
ALB,2020-07-03,362,24534
ALB,2020-07-04,376,24910
ALB,2020-07-05,392,25302
ALB,2020-07-06,459,25761
ALB,2020-07-07,409,26170
ALB,2020-07-08,397,26567
ALB,2020-07-09,401,26968
ALB,2020-07-10,420,27388
ALB,2020-07-11,420,27808
ALB,2020-07-12,420,28228
ALB,2020-07-13,585,28813
ALB,2020-07-14,451,29264
ALB,2020-07-15,361,29625
ALB,2020-07-16,425,30050
ALB,2020-07-17,431,30481
