Country	Area (km2)	Density (p/km2)
Monaco	2.02	"38,300"
Singapore	722.5	"5,703,600"
Hong Kong	"1,106"	"7,500,700"
Gibraltar (UK)[note 1]	6.8	"33,701"
Vatican City	0.44	"1,000"
Bahrain	778	"1,543,300"
Malta	315	"493,559"
Maldives	298	"374,775"
Bermuda (UK)	52	"64,027"
Sint Maarten (the Netherlands)	34	"33,680"
Bangladesh	"143,998"	"168,445,058"
Jersey (Crown dependency)	116	"104,200"
Palestine	"6,020"	"4,976,684"
Guernsey (Crown dependency)	78	"62,723"
Mayotte (France)	374	"256,518"
Lebanon	"10,452"	"6,855,713"
Barbados	430	"287,025"
Saint Martin (France)	53.2	"35,107"
Taiwan	"36,197"	"23,604,265"
Mauritius	"2,040"	"1,265,577"
Aruba (Kingdom of the Netherlands)	180	"112,309"
San Marino	61	"34,641"
Nauru	21	"11,200"
South Korea	"100,210"	"51,780,579"
Rwanda	"26,338"	"12,374,397"
Comoros	"1,861"	"873,724"
Saint Barthelemy (France)	21	"9,427"
Netherlands	"41,526"	"17,455,581"
Israel	"22,072"	"9,185,850"
Haiti	"27,065"	"11,263,077"
India	"3,287,240"	"1,361,060,375"
Burundi	"27,816"	"11,215,578"
Tuvalu	26	"10,300"
Belgium	"30,689"	"11,524,454"
Philippines	"300,000"	"108,543,662"
Curaçao (Kingdom of the Netherlands) 	444	"158,665"
Puerto Rico (US)	"9,104"	"3,195,153"
Reunion (France)	"2,503.70"	"850,996"
Japan	"377,975"	"126,010,000"
Sri Lanka	"65,610"	"21,803,000"
Martinique (France)	"1,128"	"371,246"
Guam (US)	541	"175,200"
El Salvador	"21,040"	"6,704,864"
Grenada	344	"108,825"
Marshall Islands	181	"55,900"
United States Virgin Islands (US)	352	"104,909"
Saint Lucia	617	"180,454"
American Samoa (US)	197	"57,100"
Vietnam	"331,212"	"96,208,984"
Saint Vincent and the Grenadines	389	"110,520"
United Kingdom	"242,910"	"66,435,600"
Pakistan	"803,940"	"219,291,520"
Trinidad and Tobago	"5,155"	"1,363,985"
Cayman Islands (UK)	259	"65,813"
Kuwait	"17,818"	"4,420,110"
Jamaica	"10,991"	"2,726,667"
Guadeloupe (France)	"1,628.40"	"395,725"
Liechtenstein	160	"38,380"
Luxembourg	"2,586"	"613,894"
Qatar	"11,571"	"2,740,479"
Antigua and Barbuda	442	"104,084"
Germany	"357,168"	"83,149,300"
Nigeria	"923,768"	"200,962,000"
Dominican Republic	"47,875"	"10,358,320"
Seychelles	455	"96,762"
British Virgin Islands (UK)	151	"32,206"
North Korea	"120,540"	"25,450,000"
Saint Kitts and Nevis	270	"56,345"
Gambia	"10,690"	"2,228,075"
Switzerland	"41,285"	"8,586,550"
S������o Tom	"1,001"	"201,784"
 Nepal	"147,181"	"29,609,623"
Italy	"301,308"	"60,252,824"
Uganda	"241,551"	"40,006,700"
Kosovo[note 2]	"10,910"	"1,795,666"
Andorra	464	"76,177"
Guatemala	"108,889"	"17,679,735"
Kiribati	811	"125,000"
Sint Eustatius (Netherlands)	21	"3,193"
Federated States of Micronesia	701	"105,600"
Saba (Netherlands)	13	"1,947"
Cyprus	"5,896"	"875,900"
Malawi	"118,484"	"17,563,749"
Isle of Man (Crown dependency)	572	"83,314"
China	"9,640,821"	"1,402,218,920"
Indonesia	"1,904,569"	"268,074,600"
Tokelau (NZ)	10	"1,400"
Anguilla (UK)	96	"13,452"
Tonga	720	"100,000"
Cape Verde	"4,033"	"550,483"
Czech Republic	"78,867"	"10,681,161"
Denmark	"43,098"	"5,814,461"
Togo	"56,600"	"7,538,000"
Thailand	"513,120"	"66,493,642"
Ghana	"238,533"	"30,280,811"
Northern Mariana Islands (US)	457	"56,600"
France	"543,965"	"67,060,000"
Poland	"312,685"	"38,386,000"
Jordan	"89,342"	"10,658,808"
United Arab Emirates	"83,600"	"9,770,529"
Azerbaijan	"86,600"	"10,067,108"
Transnistria	"4,163"	"469,000"
Portugal	"92,090"	"10,276,617"
Slovakia	"49,036"	"5,450,421"
Sierra Leone	"71,740"	"7,901,454"
Austria	"83,879"	"8,902,600"
Turkey	"783,562"	"83,154,997"
Northern Cyprus[note 3]	"3,355"	"351,965"
Hungary	"93,029"	"9,764,000"
Benin	"112,622"	"11,733,059"
Slovenia	"20,273"	"2,084,301"
Cuba	"109,884"	"11,209,628"
Ethiopia	"1,063,652"	"107,534,882"
Egypt	"1,002,450"	"100,251,150"
Albania	"28,703"	"2,862,427"
Malaysia	"330,803"	"32,750,760"
Costa Rica	"51,100"	"5,058,007"
Armenia	"29,743"	"2,957,500"
Dominica	739	"71,808"
Spain	"505,990"	"46,934,632"
Syria	"185,180"	"17,070,135"
Cambodia	"181,035"	"16,289,270"
Iraq	"438,317"	"39,309,783"
Serbia	"77,474"	"6,901,188"
Kenya	"581,834"	"47,564,296"
Senegal	"196,722"	"16,209,125"
Wallis & Futuna (France)	142	"11,600"
Honduras	"112,492"	"9,158,345"
Romania	"238,391"	"19,405,156"
Greece	"131,957"	"10,724,599"
North Macedonia	"25,713"	"2,077,132"
Myanmar	"676,577"	"54,339,766"
Ivory Coast	"322,921"	"25,823,071"
Morocco	"446,550"	"35,869,239"
French Polynesia (France)	"3,521"	"280,600"
Moldova	"33,843"	"2,681,735"
Timor-Leste	"14,919"	"1,167,242"
Turks and Caicos Islands (UK)	497	"37,910"
Lesotho	"30,355"	"2,263,010"
Burkina Faso	"270,764"	"20,244,080"
Uzbekistan	"447,400"	"32,653,900"
Brunei	"5,765"	"421,300"
Croatia	"56,542"	"4,087,843"
Tunisia	"163,610"	"11,722,038"
Samoa	"2,831"	"199,300"
Ireland	"70,273"	"4,921,500"
Ukraine [note 4]	"603,000"	"41,902,416"
Bosnia and Herzegovina	"51,209"	"3,511,372"
Eswatini (Swaziland)	"17,364"	"1,159,250"
Bonaire (Netherlands)	288	"18,905"
Yemen	"455,000"	"28,915,284"
Cook Islands (NZ)	237	"15,250"
Mexico	"1,967,138"	"126,577,691"
Tajikistan	"143,100"	"9,127,000"
Bulgaria	"111,002"	"7,000,039"
Ecuador	"276,841"	"17,465,512"
Tanzania	"945,087"	"55,890,747"
Panama	"74,177"	"4,158,783"
Georgia	"69,700"	"3,729,600"
Nicaragua	"121,428"	"6,393,824"
Cameroon	"466,050"	"24,348,251"
Iran	"1,648,195"	"83,366,530"
Norfolk Island (Australia)	35	"1,748"
Guinea	"245,857"	"12,218,357"
Afghanistan	"645,807"	"31,575,018"
Montserrat (UK)	102	"4,922"
Fiji	"18,333"	"884,887"
South Africa	"1,220,813"	"58,775,022"
Equatorial Guinea	"28,051"	"1,358,276"
Djibouti	"23,000"	"1,078,373"
Belarus	"207,600"	"9,465,300"
Liberia	"97,036"	"4,475,353"
Montenegro	"13,812"	"622,182"
Madagascar	"587,041"	"25,680,342"
Guinea-Bissau	"36,125"	"1,604,528"
Lithuania	"65,300"	"2,793,466"
Colombia	"1,141,748"	"46,242,000"
Palau	444	"17,900"
Cocos (Keeling) Islands (Australia)	14	544
Zimbabwe	"390,757"	"15,159,624"
Democratic Republic of the Congo	"2,345,095"	"86,790,567"
Mozambique	"799,380"	"28,571,310"
Venezuela	"916,445"	"32,219,521"
Faroe Islands (Denmark)	"1,399"	"50,844"
United States	"9,833,517"	"329,630,405"
Kyrgyzstan	"199,945"	"6,309,300"
Latvia	"64,562"	"1,910,400"
Estonia	"45,339"	"1,324,820"
Eritrea	"121,100"	"3,497,117"
Bahamas	"13,940"	"386,870"
Abkhazia	"8,660"	"243,206"
Laos	"236,800"	"6,492,400"
Saint Pierre and Miquelon (France)	242	"6,081"
Peru	"1,285,216"	"32,162,184"
Vanuatu	"12,281"	"304,500"
Brazil	"8,515,767"	"211,394,082"
Somalia	"637,657"	"15,181,925"
Solomon Islands	"28,370"	"682,500"
Angola	"1,246,700"	"29,250,009"
Chile	"756,096"	"17,373,831"
Sweden	"450,295"	"10,374,105"
Zambia	"752,612"	"16,405,229"
Sudan	"1,839,542"	"40,782,742"
Bhutan	"38,394"	"825,156"
Uruguay[note 5][clarification needed]	"176,215"	"3,518,553"
South Sudan	"644,329"	"12,778,250"
Somaliland	"176,120"	"3,508,180"
Åland Islands (Finland)	"1,552"	"29,789"
Niger	"1,186,408"	"22,314,743"
Papua New Guinea	"462,840"	"8,935,000"
New Zealand	"270,467"	"4,978,279"
Algeria	"2,381,741"	"43,000,000"
Paraguay	"406,752"	"7,052,983"
Belize	"22,965"	"398,050"
Norway	"323,808"	"5,367,580"
Finland	"338,424"	"5,527,405"
Argentina	"2,780,400"	"44,938,712"
Saudi Arabia	"2,149,690"	"34,218,169"
Republic of the Congo	"342,000"	"5,399,895"
Mali	"1,248,574"	"19,107,706"
Christmas Island (Australia)	137	"2,072"
New Caledonia (France)	"18,575"	"258,958"
Oman	"309,500"	"4,183,841"
" Saint Helena, Ascension and Tristan da Cunha (UK)"	394	"5,633"
South Ossetia	"3,900"	"53,532"
Artsakh	"11,458"	"150,932"
Turkmenistan	"491,210"	"5,851,466"
Chad	"1,284,000"	"15,353,184"
Bolivia	"1,098,581"	"11,307,314"
Russia[note 6]	"17,125,242"	"146,877,088"
Gabon	"267,667"	"2,067,561"
Central African Republic	"622,436"	"4,737,423"
Kazakhstan	"2,724,900"	"18,592,700"
Niue (NZ)	261	"1,613"
Botswana	"581,730"	"2,302,878"
Mauritania	"1,030,700"	"3,984,233"
Canada	"9,984,670"	"37,994,299"
Libya	"1,770,060"	"6,470,956"
Guyana	"214,999"	"782,225"
Suriname	"163,820"	"568,301"
Iceland	"102,775"	"360,390"
Australia	"7,692,024"	"25,678,709"
Namibia	"825,118"	"2,413,643"
French Guiana (France)	"86,504"	"244,118"
Sahrawi Arab Democratic Republic Western Sahara[note 7]	"252,120"	"567,421"
Mongolia	"1,564,100"	"3,000,000"
Pitcairn Islands (UK)	47.3	56
Falkland Islands (UK)[note 8]	"12,173"	"2,563"
Svalbard and Jan Mayen (Norway)	"61,399"	"2,655"
Greenland (Denmark)	"2,166,000"	"55,877"
